2024-06-28 12:12:27,106 INFO    MainThread:281 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-06-28 12:12:27,137 INFO    MainThread:281 [wandb_setup.py:_flush():76] Configure stats pid to 281
2024-06-28 12:12:27,137 INFO    MainThread:281 [wandb_setup.py:_flush():76] Loading settings from /home/jovyan/.config/wandb/settings
2024-06-28 12:12:27,137 INFO    MainThread:281 [wandb_setup.py:_flush():76] Loading settings from /home/jovyan/training/wandb/settings
2024-06-28 12:12:27,137 INFO    MainThread:281 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-28 12:12:27,137 INFO    MainThread:281 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-28 12:12:27,137 INFO    MainThread:281 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'training/model/yolov7/train.py', 'program_abspath': '/home/jovyan/training/model/yolov7/train.py', 'program': '/home/jovyan/training/model/yolov7/train.py'}
2024-06-28 12:12:27,138 INFO    MainThread:281 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-28 12:12:27,138 INFO    MainThread:281 [wandb_init.py:_log_setup():520] Logging user logs to /home/jovyan/training/wandb/run-20240628_121227-bdveos5m/logs/debug.log
2024-06-28 12:12:27,138 INFO    MainThread:281 [wandb_init.py:_log_setup():521] Logging internal logs to /home/jovyan/training/wandb/run-20240628_121227-bdveos5m/logs/debug-internal.log
2024-06-28 12:12:27,138 INFO    MainThread:281 [wandb_init.py:_jupyter_setup():466] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f4b8b8b9b70>
2024-06-28 12:12:27,138 INFO    MainThread:281 [wandb_init.py:init():560] calling init triggers
2024-06-28 12:12:27,138 INFO    MainThread:281 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
